date,min_temp,max_temp,avg_temp,precip,Ra,ET0,cloud_correction,Dt,St
2014-02-26,-13.9,0.3,-7.3,0.0,120.45026260111258,4.472282425622219,1.0,0.0,135.5277175743778
2014-02-27,-16.1,-0.7,-9.0,0.0,120.39143735990284,3.9014552620163494,1.0,0.0,131.7508938109519
2014-02-28,-26.4,-10.9,-18.7,0.0,120.33193785475356,0.0,1.0,0.0,131.7508938109519
2014-03-01,-32.5,-24.3,-27.5,0.0,120.27178421012655,0.0,1.0,0.0,131.7508938109519
2014-03-02,-25.0,-19.9,-21.8,0.3,120.2109967160892,0.0,0.5,0.0,132.05089381095192
2014-03-03,-20.6,-14.5,-17.6,0.0,120.14959581938005,0.027846795841018138,0.5,0.0,132.02462813751922
2014-03-04,-19.0,-13.8,-16.4,0.0,120.0876021144652,0.17988124466218605,0.5,0.0,131.85499417726606
2014-03-05,-17.2,-13.2,-15.5,0.0,120.02503633459133,0.5181048728433505,1.0,0.0,131.3670319273234
2014-03-06,-16.2,-12.4,-14.6,0.2,119.9619193428409,0.3511099894301977,0.5,0.0,131.23757280452713
2014-03-07,-17.4,3.2,-11.7,0.0,119.89827212319645,1.5575226573660679,0.5,0.0,129.77753356780727
2014-03-08,2.1,10.0,5.4,0.0,119.83411577161885,3.666401396423268,0.5,0.0,126.37884406568315
2014-03-09,0.8,13.3,7.4,0.0,119.7694714871461,10.0135870948109,1.0,0.0,117.33951862287427
2014-03-10,-2.6,5.7,2.5,0.0,119.70436056301864,6.569511153197915,1.0,0.0,111.83335236356108
2014-03-11,-3.7,9.6,2.6,0.0,119.63880437783537,8.35249167092055,1.0,0.0,105.16130133393418
2014-03-12,1.4,14.2,7.0,0.0,119.57282438674856,9.955822668839156,1.0,0.0,97.68296370746984
2014-03-13,-0.8,7.1,3.3,0.0,119.50644211270011,6.650821882636724,1.0,0.0,93.04244947470949
2014-03-14,-4.5,12.1,5.0,0.0,119.43967913770781,10.41179283161008,1.0,0.0,86.12288727130789
2014-03-15,0.2,10.1,4.9,1.0,119.37255709420403,4.000423363250829,0.5,0.0,84.66197291165962
2014-03-16,1.5,14.2,8.0,0.0,119.30509765643436,5.146815147385124,0.5,0.0,81.54954773602219
2014-03-17,-0.8,7.9,3.3,0.0,119.23732253191972,3.481867982102317,0.5,0.0,79.52137088447233
2014-03-18,-4.5,6.3,0.1,1.0,119.1692534529883,3.2891761374023503,0.5,0.0,78.65308663070999
2014-03-19,0.5,9.4,4.1,0.0,119.100912168381,3.651003163627493,0.5,0.0,76.60192471558292
2014-03-20,-8.1,3.6,-1.5,2.1,119.03232043493638,3.113891231892006,0.5,0.0,76.99813856045502
